chain_id,day,user_id,length,score_mean,score_min
36400,1,1738974,2,0.7451,0.7451
36401,0,637704,2,0.8879,0.8879
36401,1,3939643,2,0.8879,0.8879
36402,0,768778,2,0.8167,0.8167
36402,1,3608519,2,0.8167,0.8167
36403,0,506643,2,0.9345,0.9345
36403,1,1468387,2,0.9345,0.9345
36404,0,1293078,2,0.7062,0.7062
36404,1,1973333,2,0.7062,0.7062
36405,0,899867,2,0.8881,0.8881
36405,1,2209989,2,0.8881,0.8881
36406,0,768795,2,0.892,0.892
36406,1,4386334,2,0.892,0.892
36407,0,375587,2,0.9077,0.9077
36407,1,3978502,2,0.9077,0.9077
36408,0,768812,2,0.9889,0.9889
36408,1,3855977,2,0.9889,0.9889
36409,0,1030959,2,0.6944,0.6944
36409,1,2135285,2,0.6944,0.6944
36410,0,244528,2,0.9355,0.9355
36410,1,1724921,2,0.9355,0.9355
36411,0,113459,2,0.9,0.9
36411,1,3560933,2,0.9,0.9
36412,0,1030964,2,0.6542,0.6542
36412,1,4338009,2,0.6542,0.6542
36413,0,113461,2,0.9162,0.9162
36413,1,1422269,2,0.9162,0.9162
36414,0,113462,2,0.7798,0.7798
36414,1,1989268,2,0.7798,0.7798
36415,0,1162039,2,0.7458,0.7458
36415,1,6769833,2,0.7458,0.7458
36416,0,506679,2,0.8389,0.8389
36416,1,1641642,2,0.8389,0.8389
36417,0,1030969,2,0.6504,0.6504
36417,1,1744296,2,0.6504,0.6504
36418,0,375625,2,0.8767,0.8767
36418,1,1595499,2,0.8767,0.8767
36419,0,1162063,2,0.775,0.775
36419,1,2012998,2,0.775,0.775
36420,0,899921,2,0.8621,0.8621
36420,1,1508591,2,0.8621,0.8621
36421,0,1162066,2,0.8596,0.8596
36421,1,3916833,2,0.8596,0.8596
36422,0,113492,2,0.9433,0.9433
36422,1,4247634,2,0.9433,0.9433
36423,0,768856,2,0.8293,0.8293
36423,1,1698515,2,0.8293,0.8293
36424,0,637784,2,0.8891,0.8891
36424,1,1727424,2,0.8891,0.8891
36425,0,1031002,2,0.6534,0.6534
36425,1,1756219,2,0.6534,0.6534
36426,0,2603867,2,0.6643,0.6643
36426,1,4510238,2,0.6643,0.6643
36427,0,113497,2,0.825,0.825
36427,1,6382755,2,0.825,0.825
36428,0,244573,2,0.8333,0.8333
36428,1,1480879,2,0.8333,0.8333
36429,0,113503,2,0.844,0.844
36429,1,4025089,2,0.844,0.844
36430,0,1293154,2,0.7446,0.7446
36430,1,3526786,2,0.7446,0.7446
36431,0,768868,2,0.7283,0.7283
36431,1,1430223,2,0.7283,0.7283
36432,0,1031015,2,0.6833,0.6833
36432,1,3892119,2,0.6833,0.6833
36433,0,244586,2,0.9979,0.9979
36433,1,3754797,2,0.9979,0.9979
36434,0,244589,2,0.7809,0.7809
36434,1,1733323,2,0.7809,0.7809
36435,0,899960,2,0.8932,0.8932
36435,1,4562813,2,0.8932,0.8932
36436,0,768893,2,0.9633,0.9633
36436,1,3054852,2,0.9633,0.9633
36437,0,1162118,2,0.8329,0.8329
