X,Y,cellid,lat,lon,PosXcd_142,PosYcd_142
-867337.790644653,-1017688.13724096,BSOBRE1,50.146850999999998,12.646679000000001,-867338,-1017688
-854706.559863812,-1011615.61000341,BKVGLO3,50.218789000000001,12.807798000000000,-854707,-1011616
-850357.959370354,-1010627.25441797,UKVSPO102,50.233716000000001,12.865805000000000,-850358,-1010627
-849732.95036947,-1012321.08102488,UKVPUP102,50.219557000000002,12.878180000000000,-849733,-1012321
-860653.499333496,-1012975.19026133,BSONOS1,50.198258000000003,12.728547000000001,-860653,-1012975
-848645.380294143,-1014039.66343977,UKVVIV102,50.205827999999997,12.897002000000001,-848645,-1014040
-850217.313500414,-1011159.65369212,UKVBER201,50.229187000000003,12.868923000000001,-850217,-1011160
-871875.232877753,-1005626.3453326,VSOYOL102,50.247346000000000,12.556842000000000,-871875,-1005626
-850357.959370354,-1010627.25441797,UKVSPO104,50.233716000000001,12.865805000000000,-850358,-1010627
-858503.667452362,-999008.538908982,VKVYNE103,50.325305999999998,12.727213000000001,-858504,-999009
-852778.801343367,-1010857.69580359,UKVCHE102,50.228248999999998,12.832803000000000,-852779,-1010858
-844916.346175012,-996272.39424162,BKVJAC2,50.368848999999997,12.909679000000001,-844916,-996272
-840009.333394492,-1000004.15509084,BKVMAR3,50.342584000000002,12.985969000000001,-840009,-1000004
-849147.847686958,-1010607.81770609,BKVKOL1,50.235595000000004,12.882515000000000,-849148,-1010608
-850294.262843696,-1010237.35323499,UKVPAN104,50.237268000000000,12.865829000000000,-850294,-1010237
-850875.87664685,-1011138.65823628,UKVKRY102,50.228444000000003,12.859761000000001,-850876,-1011139
-853606.931486936,-1011103.06888632,BKVTES5,50.224898000000003,12.821883000000000,-853607,-1011103
-855883.515365693,-987642.43168259,BKVPOT2,50.429938999999997,12.738220000000000,-855884,-987642
-850547.383768898,-1015103.3503048,BKVBRE4,50.193702999999999,12.873023999999999,-850547,-1015103
-866726.286033553,-1003166.5526325,BSOJIN4,50.276609999999998,12.622579000000000,-866726,-1003167
-841441.447852561,-1018728.85750746,BKVSTN4,50.174273999999997,13.006888000000000,-841441,-1018729
-855623.681586687,-1005582.90252728,VKVYNR104,50.271045999999998,12.781746000000000,-855624,-1005583
-861772.002540658,-1005861.17090142,USOVRE102,50.259807000000002,12.697217999999999,-861772,-1005861
